cd_aluno,cd_curso,dt_saida,ds_motivo
206901,PED_EAD,2023-01-16,Outros
272629,PED_EAD,2023-01-16,Outros
184010,PED_EAD,2023-01-16,Outros
357829,LIC_PED_EAD,2023-01-16,Outros
357748,LIC_PED_EAD,2023-01-16,Outros
285763,PED_EAD,2023-01-17,Razões financeiras
278193,PRO_GER_EAD,2023-01-17,Razões Particulares
332460,PRO_IND_EAD,2023-01-17,Outros
266912,LIC_PED_EAD,2023-01-18,Outros
357780,LIC_PED_EAD,2023-01-18,Outros
352533,GES_PUB_EAD,2023-01-18,Outros
356377,EST_COS_EAD,2023-01-18,Venda com Inconsistência
309196,LIC_PED_EAD,2023-01-18,Mudança de cidade
340284,GESFIN_EAD,2023-01-18,Outros
333300,LIC_PED_EAD,2023-01-18,Razões financeiras
318351,ADM_EAD,2023-01-19,Razões Particulares
275849,GES_REC_HUM,2023-01-19,Outros
323770,LIC_PED_EAD,2023-01-19,Razões financeiras
355362,LIC_PED_EAD,2023-01-19,Razões Particulares
359406,LED_FIS_EAD,2023-01-19,Razões financeiras
364787,ADM_EAD,2023-01-19,Razões Particulares
358140,LIC_PED_EAD,2023-01-19,Outros
366755,LIC_PED_EAD,2023-01-19,Razões profissionais
299071,LIC_PED_EAD,2023-01-19,Razões Particulares
320038,GES_COM_EAD,2023-01-19,Razões Particulares
227429,GESFIN_EAD,2023-01-20,Outros
369584,GES_HOS_EAD,2023-01-20,Razões financeiras
364167,DES_INT_EAD,2023-01-24,Razões Particulares
295594,PRO_IND_EAD,2023-01-24,Outros
353327,CIC_EAD,2023-01-24,Razões financeiras
238110,GESFIN_EAD,2023-01-24,Outros
354188,GES_COM_EAD,2023-01-24,Outros
358132,LIC_PED_EAD,2023-01-24,Outros
174317,ENF,2023-01-24,Não realizou a rematrícula
193087,ENF,2023-01-24,Não realizou a rematrícula
355265,REC_HUM_EAD,2023-01-24,Outros
319730,LIC_LET_EAD,2023-01-24,Razões Particulares
294177,ADM_EAD,2023-01-25,Razões Particulares
275210,PED_EAD,2023-01-25,Razões financeiras
362555,ADM_EAD,2023-01-26,Outros
367085,EST_COS_EAD,2023-01-26,Outros
187982,EDU_ESP_EAD,2023-01-26,Outros
366933,LOG_EAD,2023-01-26,Outros
341434,CIC_EAD,2023-01-27,Outros
247128,ADM_EAD,2023-01-27,Outros
319552,PRO_IND_EAD,2023-01-27,Outros
319331,PRO_GER_EAD,2023-01-27,Outros
319528,PRO_IND_EAD,2023-01-27,Outros
318920,PRO_IND_EAD,2023-01-27,Outros
319188,PRO_GER_EAD,2023-01-27,Outros
319560,PRO_IND_EAD,2023-01-27,Outros
319137,PRO_GER_EAD,2023-01-27,Outros
319609,PRO_IND_EAD,2023-01-27,Outros
357535,LIC_PED_EAD,2023-01-30,Viagem
352835,ADM_EAD,2023-01-30,Razões financeiras
310350,LIC_PED_EAD,2023-01-30,Razões financeiras
359619,PRO_GER_EAD,2023-01-30,Outros
364596,ADM_EAD,2023-01-30,Viagem
211760,LET_EAD,2023-01-30,Doença
253454,ADM_EAD,2023-01-30,Outros
360820,ADM_EAD,2023-01-31,Razões Particulares
352320,ADM_EAD,2023-01-31,Razões Particulares
341949,LED_FIS_EAD,2023-01-31,Razões Particulares
255503,CIC_EAD,2023-01-31,Razões Particulares
356580,BED_FIS_EAD,2023-01-31,Razões financeiras
365007,LOG_EAD,2023-01-31,Outros
348650,SAU_PUB_EAD,2023-01-31,Outros
351561,LOG_EAD,2023-01-31,Outros
228897,PED_EAD,2023-01-31,Outros
361923,EST_COS_EAD,2023-01-31,Razões financeiras
361923,GES_AGR_EAD,2023-01-31,Razões Particulares
361923,EST_COS_EAD,2023-01-31,Razões financeiras
370090,GES_HOS_EAD,2023-01-31,Razões Particulares
351073,LOG_EAD,2023-02-01,Outros
373654,EDU_ESP_EAD,2023-02-02,Razões Particulares
287502,CIC_EAD,2023-02-02,Razões Particulares
308763,BED_FIS_EAD,2023-02-02,Outros
364647,LED_FIS_EAD,2023-02-02,Outros
371201,EST_COS_EAD,2023-02-02,Outros
364086,REC_HUM_EAD,2023-02-02,Outros
353637,EMP_EAD,2023-02-02,Razões financeiras
365287,GES_AMB_EAD,2023-02-02,Razões financeiras
245567,EST_COS_EAD,2023-02-02,Outros
345669,LED_FIS_EAD,2023-02-02,Razões Particulares
241405,CIC_EAD,2023-02-03,Razões Particulares
363845,ADM_EAD,2023-02-03,Razões financeiras
360668,CIC_EAD,2023-02-03,Outros
313465,LIC_LET_EAD,2023-02-03,Razões financeiras
361516,MAT_EAD,2023-02-03,Outros
356784,REC_HUM_EAD,2023-02-03,Outros
185459,SAU_PUB_EAD,2023-02-03,Razões Particulares
1790001792,DES_INT_EAD,2023-02-03,Razões Particulares
353335,LIC_PED_EAD,2023-02-03,Razões Particulares
362415,GES_HOS_EAD,2023-02-03,Razões Particulares
366151,CIC_EAD,2023-02-06,Razões financeiras
367140,REC_HUM_EAD,2023-02-06,Outros
363152,GES_MAR_EAD,2023-02-06,Razões financeiras
326206,GES_PUB_EAD,2023-02-06,Razões Particulares
271371,PED_EAD,2023-02-06,Razões financeiras
347610,GES_PUB_EAD,2023-02-06,Razões financeiras
364752,PRO_GER_EAD,2023-02-06,Razões Particulares
344670,PRO_GER_EAD,2023-02-06,Razões financeiras
131260,GES_COM_EAD,2023-02-07,Outros
367824,LOG_EAD,2023-02-07,Outros
362415,LED_FIS_EAD,2023-02-07,Venda com Inconsistência
367875,BED_FIS_EAD,2023-02-07,Razões financeiras
372747,LOG_EAD,2023-02-07,Outros
345189,LED_FIS_EAD,2023-02-08,Outros
355915,BED_FIS_EAD,2023-02-08,Razões financeiras
355885,ADM_EAD,2023-02-09,Razões Particulares
330513,LOG_EAD,2023-02-09,Outros
358957,SER_SOC_EAD,2023-02-09,Razões Particulares
345880,SER_SOC_EAD,2023-02-09,Razões Particulares
371848,LIC_PED_EAD,2023-02-09,Outros
355150,LIC_PED_EAD,2023-02-09,Doença
368723,LIC_PED_EAD,2023-02-09,Razões financeiras
370663,LIC_PED_EAD,2023-02-09,Razões Particulares
359627,LIC_PED_EAD,2023-02-09,Outros
356399,LIC_PED_EAD,2023-02-09,Razões financeiras
367000,LIC_PED_EAD,2023-02-09,Razões financeiras
367557,LIC_PED_EAD,2023-02-10,Razões Particulares
359112,LIC_PED_EAD,2023-02-10,Razões financeiras
359422,LIC_PED_EAD,2023-02-10,Razões financeiras
337461,LIC_PED_EAD,2023-02-10,Razões financeiras
281610,PED_EAD,2023-02-10,Outros
335116,LIC_PED_EAD,2023-02-10,Razões financeiras
359856,LIC_PED_EAD,2023-02-10,Razões financeiras
360463,LIC_PED_EAD,2023-02-10,Razões financeiras
373433,LIC_PED_EAD,2023-02-10,Razões financeiras
365171,LIC_PED_EAD,2023-02-10,Razões financeiras
363330,BED_FIS_EAD,2023-02-13,Venda com Inconsistência
358680,REC_HUM_EAD,2023-02-13,Outros
358124,CIC_EAD,2023-02-13,Outros
359997,GESFIN_EAD,2023-02-13,Outros
352975,CIC_EAD,2023-02-13,Outros
355198,GES_HOS_EAD,2023-02-13,Razões Particulares
240085,CIC_EAD,2023-02-13,Outros
357543,LED_FIS_EAD,2023-02-13,Venda com Inconsistência
373301,ADM_EAD,2023-02-14,Razões Particulares
365813,LED_FIS_EAD,2023-02-14,Outros
353041,LIC_PED_EAD,2023-02-14,Razões Particulares
370370,LIC_PED_EAD,2023-02-14,Outros
373247,ADM_EAD,2023-02-14,Razões Particulares
277345,PROC_GERE,2023-02-14,Outros
280354,PROC_GERE,2023-02-14,Outros
280354,PROC_GERE,2023-02-14,Outros
280460,PROC_GERE,2023-02-14,Outros
280460,PROC_GERE,2023-02-14,Outros
287405,PROC_GERE,2023-02-14,Outros
287405,PROC_GERE,2023-02-14,Outros
326295,LIC_PED_EAD,2023-02-14,Mudança de cidade
304342,ADM_EAD,2023-02-15,Outros
319005,PRO_GER_EAD,2023-02-16,Outros
262682,GEST_AMB,2023-02-16,Outros
356300,LIC_PED_EAD,2023-02-16,Razões financeiras
372909,LIC_PED_EAD,2023-02-16,Razões financeiras
360900,ADM_EAD,2023-02-16,Outros
372909,LIC_PED_EAD,2023-02-17,Outros
298016,ADM_EAD,2023-02-17,Razões Particulares
214289,PRO_GER_EAD,2023-02-17,Outros
358230,EST_COS_EAD,2023-02-17,Razões financeiras
376416,BED_FIS_EAD,2023-02-17,Razões financeiras
358108,LED_FIS_EAD,2023-02-17,Outros
279518,ADM_EAD,2023-02-17,Outros
147816,ADM_EAD,2023-02-17,Outros
357519,ADM_EAD,2023-02-20,Razões Particulares
214289,PRO_GER_EAD,2023-02-20,Auditoria
375908,LOG_EAD,2023-02-21,Outros
364019,GESFIN_EAD,2023-02-21,Razões Particulares
318009,GESFIN_EAD,2023-02-21,Razões Particulares
326966,CIC_EAD,2023-02-21,Razões Particulares
370620,GESFIN_EAD,2023-02-21,Razões Particulares
365414,ADM_EAD,2023-02-22,Razões Particulares
375622,REC_HUM_EAD,2023-02-22,Outros
369371,ADM_EAD,2023-02-22,Outros
374243,LIC_PED_EAD,2023-02-22,Razões Particulares
343909,ADM_EAD,2023-02-22,Outros
375990,BED_FIS_EAD,2023-02-22,Outros
375975,BED_FIS_EAD,2023-02-22,Mudança de cidade
242428,ADM_EAD,2023-02-22,Mudança de cidade
361257,PRO_GER_EAD,2023-02-22,Razões Particulares
363365,LED_FIS_EAD,2023-02-23,Outros
358671,GES_COM_EAD,2023-02-23,Razões Particulares
358671,ADM_EAD,2023-02-23,Razões Particulares
237530,PED_EAD,2023-02-23,Doença
356083,PRO_GER_EAD,2023-02-23,Razões Particulares
317770,PRO_GER_EAD,2023-02-23,Razões Particulares
330335,PRO_GER_EAD,2023-02-23,Razões Particulares
356121,PRO_GER_EAD,2023-02-23,Razões Particulares
360382,GES_COM_EAD,2023-02-23,Razões Particulares
268680,GES_REC_HUM,2023-02-24,Outros
319331,PRO_GER_EAD,2023-02-24,Outros
366070,ADM_EAD,2023-02-24,Razões Particulares
375711,SER_SOC_EAD,2023-02-24,Outros
332583,PRO_GER_EAD,2023-02-24,Razões Particulares
1790000207,LED_FIS_EAD,2023-02-24,Outros
304687,LED_FIS_EAD,2023-02-24,Mudança de cidade
241219,PROC_GERE,2023-02-24,Razões Particulares
282675,ED.FIS_EAD,2023-02-24,Razões financeiras
299891,LED_FIS_EAD,2023-02-24,Razões Particulares
1790003510,ADM_EAD,2023-02-25,Outros
363128,REC_HUM_EAD,2023-02-27,Outros
368095,LOG_EAD,2023-02-27,Outros
355320,BED_FIS_EAD,2023-02-27,Outros
365937,LED_FIS_EAD,2023-02-27,Outros
367790,LIC_PED_EAD,2023-02-27,Outros
361710,LOG_EAD,2023-02-27,Outros
354307,ADM_EAD,2023-02-27,Razões Particulares
365244,PRO_GER_EAD,2023-02-27,Razões Particulares
349311,PRO_GER_EAD,2023-02-27,Razões Particulares
357012,LIC_HIS_EAD,2023-02-27,Razões financeiras
378613,GESFIN_EAD,2023-02-28,Venda com Inconsistência
364175,CIC_EAD,2023-02-28,Outros
337224,ADM_EAD,2023-02-28,Outros
337224,ADM_EAD,2023-02-28,Outros
337224,GES_AGR_EAD,2023-02-28,Outros
287081,PED_EAD,2023-02-28,Razões financeiras
366518,ADE_SIS_EAD,2023-02-28,Razões Particulares
364159,ADE_SIS_EAD,2023-02-28,Razões financeiras
374707,DES_INT_EAD,2023-02-28,Razões financeiras
362814,LIC_HIS_EAD,2023-02-28,Outros
250323,GES_MAR_EAD,2023-02-28,Razões financeiras
332966,MAT_EAD,2023-02-28,Razões Particulares
364183,LIC_LET_EAD,2023-02-28,Razões Particulares
364710,EMP_EAD,2023-02-28,Razões Particulares
370060,EDU_ESP_EAD,2023-02-28,Razões Particulares
358540,SER_SOC_EAD,2023-02-28,Razões Particulares
362911,EMP_EAD,2023-02-28,Razões Particulares
364370,SER_SOC_EAD,2023-02-28,Razões financeiras
354889,GES_PUB_EAD,2023-02-28,Razões financeiras
283809,GESFIN_EAD,2023-02-28,Outros
374006,GES_AGR_EAD,2023-02-28,Razões Particulares
376432,ADM_EAD,2023-02-28,Razões Particulares
248582,ADM_EAD,2023-02-28,Outros
358485,GES_HOS_EAD,2023-02-28,Razões Particulares
362628,ADM_EAD,2023-02-28,Razões Particulares
179999,LIC_PED_EAD,2023-02-28,Razões financeiras
357675,GES_AGR_EAD,2023-02-28,Razões Particulares
357190,GES_COM_EAD,2023-02-28,Razões financeiras
368227,ADM_EAD,2023-02-28,Razões Particulares
362636,GES_MAR_EAD,2023-02-28,Razões Particulares
348838,GES_AGR_EAD,2023-02-28,Razões financeiras
293006,LIC_PED_EAD,2023-02-28,Mudança de curso
363136,TEC_INF_EAD,2023-02-28,Razões Particulares
360986,ADM_EAD,2023-02-28,Outros
361354,LIC_PED_EAD,2023-02-28,Outros
364531,GES_MAR_EAD,2023-02-28,Venda com Inconsistência
359740,LIC_PED_EAD,2023-02-28,Razões financeiras
339669,LIC_PED_EAD,2023-02-28,Razões Particulares
379237,LIC_PED_EAD,2023-02-28,Outros
375452,LIC_PED_EAD,2023-02-28,Outros
313031,LIC_PED_EAD,2023-02-28,Razões Particulares
365031,LIC_PED_EAD,2023-02-28,Outros
362636,GES_MAR_EAD,2023-02-28,Outros
364302,LIC_PED_EAD,2023-02-28,Outros
346126,LIC_PED_EAD,2023-02-28,Mudança de curso
372054,CIC_EAD,2023-03-01,Razões Particulares
348676,REC_HUM_EAD,2023-03-01,Outros
374650,CIC_EAD,2023-03-01,Outros
366127,LIC_PED_EAD,2023-03-01,Razões financeiras
374448,LIC_PED_EAD,2023-03-01,Razões Particulares
360892,LIC_PED_EAD,2023-03-01,Outros
369827,CIC_EAD,2023-03-01,Outros
303443,LIC_PED_EAD,2023-03-01,Mudança de curso
359929,LIC_PED_EAD,2023-03-01,Outros
370434,LIC_PED_EAD,2023-03-01,Outros
353149,CIC_EAD,2023-03-01,Outros
274362,LIC_PED_EAD,2023-03-01,Razões financeiras
319153,PRO_GER_EAD,2023-03-01,Outros
249538,ED.FIS_EAD,2023-03-01,Razões financeiras
364043,LED_FIS_EAD,2023-03-01,Outros
294533,LET_EAD,2023-03-01,Razões Particulares
371988,LIC_PED_EAD,2023-03-01,Outros
252202,GESFIN_EAD,2023-03-02,Outros
374936,LOG_EAD,2023-03-02,Outros
329574,REC_HUM_EAD,2023-03-02,Outros
365732,CIC_EAD,2023-03-02,Razões financeiras
354892,REC_HUM_EAD,2023-03-02,Outros
363888,REC_HUM_EAD,2023-03-02,Outros
359910,REC_HUM_EAD,2023-03-02,Outros
378516,GESFIN_EAD,2023-03-02,Razões Particulares
363764,EST_COS_EAD,2023-03-02,Razões financeiras
358693,REC_HUM_EAD,2023-03-02,Outros
363888,REC_HUM_EAD,2023-03-02,Outros
370973,REC_HUM_EAD,2023-03-02,Outros
369266,SER_SOC_EAD,2023-03-02,Razões financeiras
358515,SER_SOC_EAD,2023-03-02,Razões Particulares
373595,BED_FIS_EAD,2023-03-02,Outros
373778,GES_HOS_EAD,2023-03-02,Razões Particulares
364027,LED_FIS_EAD,2023-03-02,Outros
356814,BED_FIS_EAD,2023-03-02,Outros
363992,ADM_EAD,2023-03-02,Razões Particulares
379067,GES_PUB_EAD,2023-03-02,Razões Particulares
364612,LOG_EAD,2023-03-02,Outros
363560,LOG_EAD,2023-03-02,Outros
304369,REC_HUM_EAD,2023-03-02,Outros
373620,BED_FIS_EAD,2023-03-02,Razões Particulares
359481,LOG_EAD,2023-03-02,Outros
359481,LOG_EAD,2023-03-02,Outros
371635,BED_FIS_EAD,2023-03-02,Outros
375045,LIC_LET_EAD,2023-03-02,Razões financeiras
178827,LIC_LET_EAD,2023-03-02,Razões Particulares
361295,MAT_EAD,2023-03-02,Outros
363241,LIC_LET_EAD,2023-03-02,Razões Particulares
323355,HIST_EAD,2023-03-02,Razões Particulares
361052,EDU_ESP_EAD,2023-03-02,Razões Particulares
360919,LIC_LET_EAD,2023-03-02,Outros
287561,LIC_PED_EAD,2023-03-02,Outros
365368,CIC_EAD,2023-03-02,Razões financeiras
287561,LIC_PED_EAD,2023-03-02,Outros
377191,MAT_EAD,2023-03-02,Razões Particulares
268320,ADM_EAD,2023-03-02,Outros
378389,MAT_EAD,2023-03-02,Razões financeiras
363640,EDU_ESP_EAD,2023-03-02,Razões financeiras
333768,PRO_IND_EAD,2023-03-02,Outros
363590,LIC_PED_EAD,2023-03-02,Outros
362440,LIC_PED_EAD,2023-03-02,Outros
362105,LIC_PED_EAD,2023-03-02,Razões financeiras
310725,LIC_PED_EAD,2023-03-02,Razões financeiras
355710,LED_FIS_EAD,2023-03-03,Outros
352339,BED_FIS_EAD,2023-03-03,Outros
349389,BED_FIS_EAD,2023-03-03,Outros
359759,BED_FIS_EAD,2023-03-03,Razões Particulares
357411,LIC_PED_EAD,2023-03-03,Outros
373832,SER_SOC_EAD,2023-03-03,Razões financeiras
379377,PRO_GER_EAD,2023-03-03,Insatisfação
359708,BED_FIS_EAD,2023-03-03,Razões Particulares
355338,REC_HUM_EAD,2023-03-03,Outros
362024,REC_HUM_EAD,2023-03-03,Outros
362806,LIC_PED_EAD,2023-03-03,Outros
363977,LIC_PED_EAD,2023-03-03,Outros
287561,LIC_PED_EAD,2023-03-03,Outros
303443,LIC_PED_EAD,2023-03-03,Outros
359155,LIC_PED_EAD,2023-03-03,Outros
190819,LIC_PED_EAD,2023-03-03,Razões financeiras
360773,REC_HUM_EAD,2023-03-06,Outros
373034,GESFIN_EAD,2023-03-06,Outros
281610,PED_EAD,2023-03-06,Outros
285844,GEST_AMB,2023-03-06,Razões financeiras
190819,LIC_PED_EAD,2023-03-06,Insatisfação
366976,SER_SOC_EAD,2023-03-06,Razões financeiras
377471,GES_AGR_EAD,2023-03-06,Razões Particulares
190819,LIC_PED_EAD,2023-03-06,Razões Particulares
339154,SER_SOC_EAD,2023-03-06,Razões Particulares
379504,GES_PUB_EAD,2023-03-06,Razões Particulares
348129,GES_HOS_EAD,2023-03-06,Razões Particulares
367638,LIC_PED_EAD,2023-03-06,Outros
342562,EST_COS_EAD,2023-03-06,Razões financeiras
379300,PRO_GER_EAD,2023-03-06,Razões Particulares
369037,GES_COM_EAD,2023-03-06,Razões Particulares
375819,GES_AMB_EAD,2023-03-06,Razões Particulares
374290,EST_COS_EAD,2023-03-07,Razões Particulares
370450,EST_COS_EAD,2023-03-07,Outros
371422,BED_FIS_EAD,2023-03-07,Outros
371422,BED_FIS_EAD,2023-03-07,Outros
371422,BED_FIS_EAD,2023-03-07,Outros
372984,DES_INT_EAD,2023-03-07,Razões Particulares
255592,PRO_GER_EAD,2023-03-07,Razões Particulares
359813,PRO_GER_EAD,2023-03-07,Razões Particulares
373581,GES_AMB_EAD,2023-03-07,Razões Particulares
338778,GES_PUB_EAD,2023-03-07,Razões Particulares
360200,SAU_PUB_EAD,2023-03-07,Razões Particulares
324440,SER_SOC_EAD,2023-03-07,Razões Particulares
309595,CIC_EAD,2023-03-08,Outros
277833,PED_EAD,2023-03-08,Razões financeiras
288738,PED_EAD,2023-03-08,Razões financeiras
381215,SER_SOC_EAD,2023-03-08,Não realizou a rematrícula
362593,ADM_EAD,2023-03-08,Razões financeiras
299977,SER_SOC_EAD,2023-03-08,Razões financeiras
372860,SAU_PUB_EAD,2023-03-08,Razões Particulares
379253,EDU_ESP_EAD,2023-03-08,Razões financeiras
156734,EDU.ESP_EAD,2023-03-08,Razões financeiras
373980,PRO_IND_EAD,2023-03-08,Razões financeiras
228980,GES_PUB_EAD,2023-03-08,Outros
374200,LIC_PED_EAD,2023-03-08,Outros
367174,LIC_PED_EAD,2023-03-08,Outros
371252,CIC_EAD,2023-03-10,Razões Particulares
372356,CIC_EAD,2023-03-10,Outros
367212,CIC_EAD,2023-03-10,Outros
375231,CIC_EAD,2023-03-10,Outros
366917,GESFIN_EAD,2023-03-10,Doença
267412,PED_EAD,2023-03-10,Razões financeiras
269164,PED_EAD,2023-03-10,Razões financeiras
342074,ADM_EAD,2023-03-10,Razões Particulares
314216,MAT_EAD,2023-03-10,Razões financeiras
341523,EDU_ESP_EAD,2023-03-10,Outros
340298,GES_HOS_EAD,2023-03-10,Razões Particulares
270880,LIC_PED_EAD,2023-03-10,Razões financeiras
303486,LIC_PED_EAD,2023-03-10,Razões financeiras
281148,PROC_GERE,2023-03-10,Razões Particulares
295629,LED_FIS_EAD,2023-03-11,Razões Particulares
375037,LIC_PED_EAD,2023-03-11,Razões financeiras
374723,LIC_PED_EAD,2023-03-11,Outros
376122,BED_FIS_EAD,2023-03-11,Outros
380260,LIC_PED_EAD,2023-03-11,Outros
357093,LIC_PED_EAD,2023-03-11,Outros
360013,LIC_PED_EAD,2023-03-11,Doença
364701,BED_FIS_EAD,2023-03-11,Razões financeiras
328314,BED_FIS_EAD,2023-03-11,Razões financeiras
377579,LIC_PED_EAD,2023-03-11,Razões financeiras
377722,LIC_PED_EAD,2023-03-11,Outros
354021,BED_FIS_EAD,2023-03-13,Outros
372550,BED_FIS_EAD,2023-03-13,Outros
377420,ADM_EAD,2023-03-13,Razões Particulares
350700,EST_COS_EAD,2023-03-13,Outros
325102,GES_HOS_EAD,2023-03-13,Razões Particulares
254124,GES_AGR_EAD,2023-03-13,Razões financeiras
362717,SAU_PUB_EAD,2023-03-13,Razões financeiras
363225,GES_AGR_EAD,2023-03-13,Razões Particulares
1790001657,PED_EAD,2023-03-13,Razões financeiras
1790001856,LOGIST,2023-03-13,Outros
364809,BED_FIS_EAD,2023-03-13,Outros
323126,LIC_PED_EAD,2023-03-13,Razões financeiras
350638,REC_HUM_EAD,2023-03-13,Outros
326710,LIC_PED_EAD,2023-03-13,Outros
284163,PED_EAD,2023-03-13,Razões financeiras
324076,ADM_EAD,2023-03-13,Outros
353195,PRO_IND_EAD,2023-03-13,Razões financeiras
378648,GES_COM_EAD,2023-03-13,Insatisfação
365856,GES_AMB_EAD,2023-03-13,Doença
374375,GES_AMB_EAD,2023-03-13,Mudança de cidade
354803,GES_COM_EAD,2023-03-13,Razões Particulares
351871,ADM_EAD,2023-03-14,Razões Particulares
362593,ADM_EAD,2023-03-14,Outros
376041,SER_SOC_EAD,2023-03-14,Razões financeiras
350360,GESFIN_EAD,2023-03-14,Razões financeiras
360811,REC_HUM_EAD,2023-03-14,Outros
373310,REC_HUM_EAD,2023-03-14,Outros
365716,ENG_COA_EAD,2023-03-14,Razões Particulares
355694,GES_MAR_EAD,2023-03-14,Razões Particulares
370582,EST_COS_EAD,2023-03-14,Razões financeiras
368170,BED_FIS_EAD,2023-03-14,Outros
345928,BED_FIS_EAD,2023-03-14,Outros
346126,LIC_PED_EAD,2023-03-14,Outros
346126,LIC_PED_EAD,2023-03-14,Outros
358787,LIC_PED_EAD,2023-03-14,Doença
304369,REC_HUM_EAD,2023-03-15,Outros
361206,ADM_EAD,2023-03-15,Razões financeiras
358418,EMP_EAD,2023-03-15,Razões Particulares
380634,GES_HOS_EAD,2023-03-15,Razões Particulares
275377,EDU.ESP_EAD,2023-03-15,Doença
378656,GES_HOS_EAD,2023-03-15,Razões Particulares
376548,LIC_HIS_EAD,2023-03-15,Razões financeiras
319510,PRO_IND_EAD,2023-03-15,Outros
381990,REC_HUM_EAD,2023-03-15,Outros
373379,LIC_PED_EAD,2023-03-15,Outros
357047,ED.FIS_EAD,2023-03-15,Outros
378694,ADM_EAD,2023-03-15,Razões Particulares
323576,GES_COM_EAD,2023-03-15,Razões Particulares
380782,MAT_EAD,2023-03-15,Razões financeiras
355460,LIC_PED_EAD,2023-03-15,Outros
1790001883,EDU.ESP_EAD,2023-03-15,Outros
372127,GES_PUB_EAD,2023-03-16,Razões financeiras
278945,GES_COM_EAD,2023-03-16,Razões Particulares
356849,GESFIN_EAD,2023-03-16,Outros
304342,ADM_EAD,2023-03-16,Razões Particulares
